40001,30,F,T
40002,28,F,T
40003,28,F,T
40004,34,F,T
40005,23,F,T
40006,30,T,T
40007,32,T,T
40008,36,T,T
40009,29,T,T
40010,0,T,F
40011,24,T,T
40012,24,T,T
40013,33,T,T
40014,33,T,T
40015,30,T,T
40016,28,T,T
40017,31,T,T
40018,39,T,T
40019,25,T,T
40020,37,T,T
40021,0,T,F
40022,29,T,T
40023,19,T,T
40024,37,T,T
40025,31,T,T
40026,19,T,T
40027,32,T,T
40028,22,T,T
40029,24,T,T
40030,27,T,T
40031,30,T,T
40032,28,T,T
40033,34,T,T
40034,30,T,T
40035,21,T,T
40036,24,T,T
40037,16,T,T
40038,31,T,T
40039,18,T,T
40040,22,T,T
40041,20,T,T
40042,30,T,T
40043,30,T,T
40044,27,T,T
40045,33,T,T
40046,32,T,T
40047,34,T,T
40048,32,T,T
40049,0,T,F
40050,28,T,T
40051,15,T,T
40052,0,T,F
40053,18,T,T
40054,34,T,T
40055,25,T,T
40056,27,T,T
40057,31,T,T
40058,28,T,T
40059,31,T,T
40060,31,T,T
40061,0,T,F
40062,22,T,T
40063,0,T,F
40064,24,T,T
40065,0,T,F
40066,26,T,T
40067,35,T,T
40068,39,T,T
40069,26,T,T
40070,23,T,T
40071,30,T,T
40072,32,T,T
40073,27,T,T
40074,23,T,T
40075,0,T,F
40076,0,T,F
40077,0,T,F
40078,24,T,T
40079,30,T,T
40080,36,T,T
40081,30,T,T
40082,0,T,F
40083,0,T,F
40084,30,T,T
40085,27,T,T
40086,28,T,T
40087,23,T,T
40088,31,T,T
40089,0,T,F
40090,0,T,F
40091,32,T,T
40092,15,T,T
40093,24,T,T
40094,24,T,T
40095,26,T,T
40096,31,T,T
40097,24,T,T
40098,31,T,T
40099,31,T,T
40100,23,T,T
40101,27,T,T
40102,24,T,T
40103,0,T,F
40104,0,T,F
40105,24,T,T
40106,31,T,T
40107,26,T,T
40108,29,T,T
40109,35,T,T
40110,17,T,T
40111,16,T,T
40112,20,T,T
40113,0,T,F
40114,8,T,T
40115,30,T,T
40116,19,T,T
40117,22,T,T
40118,18,T,T
40119,26,T,T
40120,100,T,T
40121,21,T,T
40122,23,T,T
40123,0,T,F
40124,29,T,T
40125,30,T,T
40126,37,T,T
40127,28,T,T
40128,29,T,T
40129,26,T,T
40130,27,T,T
40131,31,T,T
40132,37,T,T
40133,31,T,T
40134,29,T,T
40135,32,T,T
40136,0,T,F
40137,0,T,F
40138,33,T,T
40139,36,T,T
40140,31,T,T
40141,30,T,T
40142,32,T,T
40143,30,T,T
40144,0,T,F
40145,24,T,T
40146,13,T,T
40147,31,T,T
40148,0,T,F
40149,24,T,T
40150,20,T,T
40151,32,T,T
40152,26,T,T
40153,32,T,T
40154,24,T,T
40155,21,T,T
40156,28,T,T
40157,22,T,T
40158,26,T,T
40159,30,T,T
40160,26,T,T
40161,27,T,T
40162,32,T,T
40163,20,T,T
40164,0,T,F
40165,0,T,F
40166,19,T,T
40167,18,T,T
40168,31,T,T
40169,24,T,T
40170,28,T,T
40171,29,T,T
40172,23,T,T
40173,32,T,T
40174,27,T,T
40175,25,T,T
40176,33,T,T
40177,32,T,T
40178,19,T,T
40179,30,T,T
40180,28,T,T
40181,0,T,F
40182,36,T,T
40183,35,T,T
40184,25,T,T
40185,0,T,F
40186,33,T,T
40187,18,T,T
40188,23,T,T
40189,33,T,T
40190,0,T,F
40191,33,T,T
40192,0,T,F
40193,34,T,T
40194,0,T,F
40195,26,T,T
40196,0,T,F
40197,29,T,T
40198,22,T,T
40199,33,T,T
40200,30,T,T
40201,24,T,T
40202,16,T,T
40203,24,T,T
40204,27,T,T
40205,27,T,T
